file,label,true_green
data/streetview/green_000.png,green,0.3793
data/streetview/green_001.png,green,0.3785
data/streetview/green_002.png,green,0.196
data/streetview/green_003.png,green,0.2158
data/streetview/green_004.png,green,0.2424
data/streetview/green_005.png,green,0.2327
data/streetview/green_006.png,green,0.1834
data/streetview/green_007.png,green,0.2791
data/streetview/green_008.png,green,0.2333
data/streetview/green_009.png,green,0.3572
data/streetview/green_010.png,green,0.3594
data/streetview/green_011.png,green,0.1996
data/streetview/green_012.png,green,0.1992
data/streetview/green_013.png,green,0.2812
data/streetview/green_014.png,green,0.3825
data/streetview/green_015.png,green,0.1719
data/streetview/green_016.png,green,0.3537
data/streetview/green_017.png,green,0.2693
data/streetview/green_018.png,green,0.364
data/streetview/green_019.png,green,0.1768
data/streetview/green_020.png,green,0.3235
data/streetview/green_021.png,green,0.2776
data/streetview/green_022.png,green,0.3709
data/streetview/green_023.png,green,0.2144
data/streetview/green_024.png,green,0.212
data/streetview/green_025.png,green,0.3134
data/streetview/green_026.png,green,0.2957
data/streetview/green_027.png,green,0.2114
data/streetview/green_028.png,green,0.282
data/streetview/green_029.png,green,0.3333
data/streetview/green_030.png,green,0.3109
data/streetview/green_031.png,green,0.2282
data/streetview/green_032.png,green,0.2131
data/streetview/green_033.png,green,0.356
data/streetview/green_034.png,green,0.1998
data/streetview/green_035.png,green,0.204
data/streetview/green_036.png,green,0.3085
data/streetview/green_037.png,green,0.1758
data/streetview/green_038.png,green,0.3323
data/streetview/green_039.png,green,0.3293
data/streetview/green_040.png,green,0.2295
data/streetview/green_041.png,green,0.2916
data/streetview/green_042.png,green,0.3487
data/streetview/green_043.png,green,0.3547
data/streetview/green_044.png,green,0.1683
data/streetview/green_045.png,green,0.1945
data/streetview/green_046.png,green,0.173
data/streetview/green_047.png,green,0.2461
data/streetview/green_048.png,green,0.3553
data/streetview/green_049.png,green,0.3065
data/streetview/green_050.png,green,0.3973
data/streetview/green_051.png,green,0.3653
data/streetview/green_052.png,green,0.3528
data/streetview/green_053.png,green,0.2874
data/streetview/green_054.png,green,0.357
data/streetview/green_055.png,green,0.1707
data/streetview/green_056.png,green,0.3304
data/streetview/green_057.png,green,0.377
data/streetview/green_058.png,green,0.3323
data/streetview/green_059.png,green,0.2633
data/streetview/green_060.png,green,0.2831
data/streetview/green_061.png,green,0.301
data/streetview/green_062.png,green,0.2127
data/streetview/green_063.png,green,0.3538
data/streetview/green_064.png,green,0.2703
data/streetview/green_065.png,green,0.264
data/streetview/green_066.png,green,0.1899
data/streetview/green_067.png,green,0.1702
data/streetview/green_068.png,green,0.3872
data/streetview/green_069.png,green,0.1844
data/streetview/green_070.png,green,0.382
data/streetview/green_071.png,green,0.2467
data/streetview/green_072.png,green,0.2618
data/streetview/green_073.png,green,0.1968
data/streetview/green_074.png,green,0.2686
data/streetview/green_075.png,green,0.1907
data/streetview/green_076.png,green,0.2368
data/streetview/green_077.png,green,0.2836
data/streetview/green_078.png,green,0.3538
data/streetview/green_079.png,green,0.3802
data/streetview/green_080.png,green,0.2437
data/streetview/green_081.png,green,0.1669
data/streetview/green_082.png,green,0.2155
data/streetview/green_083.png,green,0.3522
data/streetview/green_084.png,green,0.192
data/streetview/green_085.png,green,0.2772
data/streetview/green_086.png,green,0.3503
data/streetview/green_087.png,green,0.2027
data/streetview/green_088.png,green,0.2344
